"","CC","CongDFL_1992","CongDFL_1994","CongDFL_1996","CongDFL_1998","CongDFL_2000","CongDFL_2002","CongDFL_2004","CongDFL_2006","CongDFL_2008","CongDFL_2010","CongDFL_2012","CongDFL_2014","CongDFL_2016"
"1",1,3927,4111,219537,223579,5198,5052,5541,4839,5853,3210,4738,3415,4167
"2",2,45995,46584,7117609,6525462,71427,54637,81718,56834,78713,53350,91149,48412,72619
"3",3,7474,6457,452172,446831,10011,9317,11408,9682,12402,6579,10116,6581,8743
"4",4,8998,6444,634980,609600,11569,9299,13068,11247,14812,8624,13039,8468,11230
"5",5,6550,4822,227664,239814,9374,4974,8251,5710,8675,5388,10079,5685,6408
"6",6,1845,1921,45310,45701,1726,1747,2034,1868,2160,1304,1768,1187,1525
"7",7,19555,10018,621452,570180,11772,8170,12759,15509,22888,12539,20624,11860,18177
"8",8,5701,4947,187488,190656,5616,3348,3822,5263,7831,4633,7305,4423,5376
"9",9,8723,8485,382543,345469,11342,10793,13286,10072,13641,7352,11401,7393,10311
"10",10,10179,9282,425376,413696,14202,11609,14268,11732,17575,10650,19232,11081,17921
"11",11,6384,5655,479232,449928,7741,7064,8653,6767,9372,4983,7199,4847,6287
"12",12,4126,3587,114372,123255,3728,3890,4579,4137,4733,2711,4091,2902,3593
"13",13,9320,8411,227216,229636,12360,12230,15160,12639,16767,8660,13223,8678,13189
"14",14,13122,9358,833436,762048,17095,15015,19368,15027,22171,12305,19292,11545,18316
"15",15,2149,1724,65212,58884,2574,2330,2685,2549,2877,1916,2441,1434,1861
"16",16,1370,1618,14490,16790,1829,1971,2101,2012,2359,1556,1993,1622,2182
"17",17,3014,2779,99412,110461,2992,1987,2083,2553,3489,2140,3007,2134,2480
"18",18,12789,11796,854084,811309,16717,15815,18411,15019,20615,10541,16220,10584,14482
"19",19,58592,51499,9029342,7733702,77942,75445,89593,75108,102478,65513,103476,61116,106560
"20",20,5867,2488,60477,53010,2774,2240,2787,3603,6128,3123,5327,3907,4601
"21",21,6813,5429,323610,345520,10375,8851,12424,10446,13674,7467,11107,6765,9960
"22",22,6677,3398,121374,150513,3236,2136,2486,3318,4977,3043,4102,2595,2884
"23",23,8256,3182,172575,149643,3996,3251,3935,5101,6991,4247,6558,4915,5628
"24",24,13524,6941,322400,283400,7061,5642,6689,8545,11320,7467,10548,7380,8386
"25",25,15304,6991,418704,366388,8940,9202,10823,8088,10990,6982,10688,6020,9946
"26",26,2004,1801,56787,58282,2490,2283,2658,2270,2750,1836,2257,1559,2036
"27",27,260245,178358,102342096,88861104,263671,230314,315425,216175,350861,236515,378727,243201,378593
"28",28,7302,2896,108594,74007,3956,2846,3708,4583,5864,3494,5807,4205,5438
"29",29,4281,3484,194425,198695,5924,4928,5804,5164,6465,3747,5146,3662,4718
"30",30,7639,6156,130662,131436,8359,8352,10387,7936,11310,5420,8696,5665,8379
"31",31,11638,12421,1071954,1025856,14489,13524,15771,12575,16219,9485,13293,9686,12019
"32",32,3385,2888,106920,95640,2800,2045,2033,2487,3340,1959,2870,1810,2180
"33",33,3582,2863,75747,82257,4164,3944,4788,3741,5003,2554,3845,2768,3435
"34",34,10689,8988,506049,544307,9843,10182,12717,11488,14493,8062,11475,9000,10872
"35",35,1976,1884,78773,71780,2052,1969,2164,1876,2146,1491,1803,1361,1569
"36",36,4270,4116,158367,143946,4780,4458,4808,3742,4837,2664,3733,2779,3245
"37",37,2855,2760,98967,98835,2656,2733,3126,2862,3166,2236,2683,1813,2345
"38",38,4094,4009,76551,83448,4890,4614,4989,4328,5115,3067,4035,2751,3714
"39",39,1397,1124,19012,21056,1485,1536,1625,1421,1638,1038,1342,1004,1111
"40",40,8904,4566,159094,165706,5693,5234,5978,4591,6412,4146,7800,5012,6522
"41",41,1559,1714,40880,39780,1761,1821,2141,1806,2184,1390,1785,1379,1580
"42",42,4236,4456,209781,209781,5589,5213,6625,5800,8331,4623,7101,4373,6136
"43",43,6545,5177,192780,224672,6707,6680,9243,7921,10396,5812,8718,5849,7748
"44",44,1371,1128,28899,26410,1585,1787,1877,1776,1894,1380,1624,1110,1376
"45",45,3924,3372,234540,236460,4002,3716,4144,3582,3889,3014,3375,2557,2788
"46",46,5211,4949,199097,186036,4754,2873,3362,3867,5655,3184,4842,3103,3641
"47",47,5252,4483,165360,186600,5115,5582,6936,6417,7758,4654,6408,4718,5349
"48",48,4617,4436,129725,132175,6151,6059,7345,5877,8028,4054,6216,3911,5536
"49",49,6035,5963,375781,416990,9352,8846,9848,7282,9948,4556,7003,5149,6349
"50",50,16526,9258,473064,395140,9020,7074,9286,9917,13304,8419,12283,7434,9998
"51",51,2415,2532,78204,83188,2342,2117,1809,2191,2856,1779,2528,1877,2181
"52",52,7424,6085,232252,214055,7363,5031,6914,8619,12106,7540,11242,7121,10110
"53",53,5387,4459,212960,207760,4380,3538,3193,3830,5009,2579,4537,3001,3833
"54",54,2542,2241,92829,86889,2852,2735,3094,2424,2952,2005,2468,1718,2261
"55",55,39505,14416,1450816,1167424,21855,17306,22658,28982,45492,26441,43090,27290,41645
"56",56,12844,10454,1502046,1481480,18325,16540,19420,16465,22135,12533,17257,10409,15641
"57",57,3998,2981,148954,155550,4751,4070,4968,4056,5255,2938,4248,3033,3876
"58",58,6401,5960,327936,330816,8624,7526,9280,7134,9374,4719,7161,4916,6519
"59",59,2138,1963,60288,64056,2367,1706,1485,1830,2189,1287,1956,1616,1795
"60",60,8681,6892,821610,744855,10760,9690,11311,9413,11883,7080,9960,5754,8377
"61",61,3167,2808,96570,121410,3729,3863,4492,4246,4642,2976,3869,2656,3463
"62",62,140510,100966,24642433,21575084,114889,136350,152776,142132,179506,114553,171875,116403,160896
"63",63,1554,1449,33920,35880,1669,1562,1703,1617,1811,1152,1446,951,1163
"64",64,3016,2226,122580,181530,3123,3414,4398,3983,5087,3036,4326,2737,3740
"65",65,4434,3660,159359,199430,4143,4455,5313,4712,5816,3233,4637,3322,3966
"66",66,17132,9168,384768,357824,12143,12738,14574,11714,15465,10190,16818,11244,16120
"67",67,2475,1917,59754,49220,2442,1746,1630,1796,2303,1410,2218,1269,1890
"68",68,4444,3523,182091,164892,4694,4526,5111,4732,5551,3781,4377,2670,3665
"69",69,66837,59773,13815336,11908464,81388,74221,85904,66026,89380,48282,71408,46657,68549
"70",70,14163,11298,505164,478995,17851,16331,21295,16582,24283,14908,25879,13903,27788
"71",71,10403,9003,306624,320088,16605,9551,17754,12269,17083,11488,20565,10463,13894
"72",72,3444,2829,87072,97992,3471,3532,4039,3550,4326,2628,3772,2945,3225
"73",73,21967,18026,3111885,3153359,39143,22243,35267,25535,38636,23452,42758,23730,29567
"74",74,11713,5272,165282,148512,6144,4446,5284,7006,11994,7233,10082,6493,8884
"75",75,3135,2213,85008,82056,3622,3507,4016,3443,4211,2568,3468,2110,3183
"76",76,3589,2972,109980,110610,3064,3509,4101,3517,3980,2780,3404,2571,2982
"77",77,5177,4701,272194,293094,7269,7063,7785,6640,8379,4629,6660,4590,5367
"78",78,1403,1035,29868,30343,1448,1377,1490,1425,1545,1148,1264,910,1123
"79",79,7564,3379,147424,134470,4078,3274,3931,4749,7210,4214,5293,2976,4445
"80",80,2979,2408,93002,91182,3745,3170,3427,2888,3851,2049,2820,1941,2475
"81",81,6831,3228,80608,87142,3367,2404,2973,3853,6034,3826,5465,3548,4489
"82",82,32227,35447,3464928,3193848,52231,42598,60933,50752,66244,46479,68343,44259,62336
"83",83,2846,2516,69080,69388,2634,1750,1970,2331,3307,2183,3090,2035,2417
"84",84,1620,1423,63720,60270,2281,1903,2275,2081,2589,1423,2047,1283,1868
"85",85,16676,7345,484416,380496,10334,7125,10161,11458,17192,9428,15673,9032,14362
"86",86,16634,13229,674424,674386,18981,13349,24475,18059,24231,16669,29969,15102,20135
"87",87,3543,2931,117447,127248,3212,3017,3695,3429,4076,2324,3421,2417,2851
"88",89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
